window_index,window_start,y_window,z1,z2,z3,z4,z5,z6,z7,z8,NOTE
201,19296,0,0.000,3.161,2.031,0.000,0.000,0.000,0.620,0.000,
202,19392,0,0.000,3.399,1.947,0.000,0.000,0.000,0.518,0.286,
203,19488,0,0.000,3.280,1.357,0.000,0.000,0.000,0.101,0.884,
204,19584,0,0.000,2.868,0.717,0.000,0.000,0.000,0.000,0.803,
205,19680,0,0.000,2.419,0.360,0.000,0.000,0.000,0.000,0.388,
206,19776,0,0.000,2.238,0.505,0.284,0.000,0.000,0.000,0.000,
207,19872,0,0.000,2.796,0.961,0.612,0.000,0.000,0.000,0.000,
208,19968,0,0.000,3.510,1.297,0.218,0.000,0.000,0.646,0.000,
209,20064,0,0.000,3.630,1.676,0.000,0.000,0.000,1.395,0.000,
210,20160,0,0.000,3.539,1.956,0.000,0.000,0.000,1.370,0.329,
211,20256,0,0.000,3.315,1.809,0.000,0.000,0.000,0.662,0.718,
212,20352,0,0.000,2.691,1.277,0.000,0.000,0.000,0.158,0.539,
213,20448,1,0.000,1.422,0.887,0.881,0.000,0.000,0.900,0.603,
214,20544,1,0.000,0.954,1.189,1.890,0.000,0.000,1.289,0.631,
215,20640,1,0.000,1.552,1.583,1.949,0.000,0.000,1.593,0.190,
216,20736,1,0.000,2.637,1.621,1.225,0.000,0.000,1.979,0.000,
217,20832,0,0.000,3.825,1.992,0.000,0.000,0.000,0.864,0.000,
218,20928,0,0.000,3.706,1.721,0.000,0.000,0.000,0.856,0.093,
219,21024,0,0.000,3.642,1.197,0.000,0.000,0.000,0.333,0.212,
220,21120,0,0.000,3.149,0.700,0.000,0.000,0.000,0.000,0.243,
221,21216,0,0.000,2.635,0.672,0.000,0.000,0.000,0.000,0.062,
222,21312,1,0.000,3.505,0.137,0.000,0.000,0.000,0.742,0.000,
223,21408,1,0.000,4.031,0.000,0.063,0.000,0.000,1.426,0.000,
224,21504,1,0.000,3.694,0.035,0.443,0.000,0.000,2.057,0.000,
225,21600,1,0.000,3.529,0.816,0.000,0.000,0.000,2.136,0.000,
226,21696,0,0.000,3.540,1.861,0.000,0.000,0.000,0.913,0.000,
227,21792,0,0.000,2.826,1.489,0.000,0.000,0.000,0.530,0.000,
228,21888,0,0.000,2.314,1.453,0.000,0.000,0.000,0.164,0.253,
229,21984,0,0.000,2.276,1.262,0.000,0.000,0.000,0.000,0.197,
230,22080,1,0.000,2.420,1.234,0.000,0.000,0.000,0.000,0.000,
231,22176,1,0.000,2.570,1.913,0.054,0.000,0.000,0.059,0.000,
232,22272,1,0.000,3.690,2.483,0.000,0.000,0.000,0.560,0.000,
233,22368,1,0.000,4.819,1.070,0.000,0.000,0.000,2.013,0.000,
234,22464,1,0.000,4.832,0.661,0.000,0.000,0.000,1.498,0.000,
235,22560,0,0.000,3.790,1.264,0.000,0.000,0.000,0.063,0.000,
236,22656,0,0.000,3.087,0.940,0.000,0.000,0.000,0.264,0.000,
237,22752,0,0.000,3.075,0.888,0.000,0.000,0.000,0.518,0.000,
